area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
MUNICIPIO_6,2014,48,1.628,78.142
MUNICIPIO_7,2014,48,1.676,80.429
MUNICIPIO_8,2014,49,1.679,82.284
MUNICIPIO_9,2014,48,1.653,79.359
NERVIANO,2014,48,1.58,75.825
NOSATE,2014,40,1.274,50.943
NOVATE MILANESE,2014,49,1.694,82.986
NOVIGLIO,2014,48,1.597,76.665
OPERA,2014,48,1.618,77.673
OSSONA,2014,45,1.646,74.065
OZZERO,2014,46,1.618,74.438
PADERNO DUGNANO,2014,49,1.628,79.755
PANTIGLIATE,2014,46,1.715,78.906
PARABIAGO,2014,48,1.502,72.1
PAULLO,2014,47,1.648,77.435
PERO,2014,49,1.686,82.596
PESCHIERA BORROMEO,2014,47,1.675,78.724
PESSANO CON BORNAGO,2014,46,1.638,75.365
PIEVE EMANUELE,2014,48,1.595,76.573
PIOLTELLO,2014,45,1.825,82.12
POGLIANO MILANESE,2014,48,1.62,77.774
POZZO D`ADDA,2014,44,1.249,54.977
POZZUOLO MARTESANA,2014,47,1.434,67.402
PREGNANA MILANESE,2014,49,1.616,79.194
RESCALDINA,2014,48,1.468,70.441
RHO,2014,49,1.652,80.956
ROBECCHETTO CON INDUNO,2014,40,1.358,54.325
ROBECCO SUL NAVIGLIO,2014,45,1.702,76.568
RODANO,2014,45,1.81,81.435
ROSATE,2014,48,1.55,74.407
ROZZANO,2014,48,1.628,78.164
SAN DONATO MILANESE,2014,48,1.614,77.48
SAN GIORGIO SU LEGNANO,2014,46,1.555,71.528
SAN GIULIANO MILANESE,2014,48,1.592,76.428
SAN VITTORE OLONA,2014,48,1.477,70.881
SAN ZENONE AL LAMBRO,2014,48,1.571,75.429
SANTO STEFANO TICINO,2014,45,1.688,75.944
SEDRIANO,2014,46,1.647,75.773
SEGRATE,2014,47,1.665,78.248
SENAGO,2014,49,1.688,82.707
SESTO SAN GIOVANNI,2014,48,1.588,76.204
SETTALA,2014,46,1.702,78.282
SETTIMO MILANESE,2014,49,1.641,80.42
SOLARO,2014,49,1.607,78.741
TREZZANO ROSA,2014,42,1.169,49.114
TREZZANO SUL NAVIGLIO,2014,48,1.642,78.799
TREZZO SULL`ADDA,2014,36,1.252,45.073
TRIBIANO,2014,47,1.654,77.723
TRUCCAZZANO,2014,47,1.446,67.955
TURBIGO,2014,40,1.261,50.428
VANZAGHELLO,2014,43,1.315,56.559
VANZAGO,2014,48,1.608,77.168
VAPRIO D`ADDA,2014,42,1.192,50.054
VERMEZZO CON ZELO,2014,47,1.594,74.914
VERNATE,2014,48,1.557,74.742
VIGNATE,2014,45,1.71,76.946
VILLA CORTESE,2014,45,1.535,69.074
VIMODRONE,2014,48,1.629,78.185
VITTUONE,2014,45,1.683,75.718
VIZZOLO PREDABISSI,2014,48,1.595,76.581
ZIBIDO SAN GIACOMO,2014,48,1.625,78.012
ABBIATEGRASSO,2015,51,2.154,109.845
ALBAIRATE,2015,51,2.184,111.392
ARCONATE,2015,51,1.943,99.078
ARESE,2015,51,2.563,130.729
ARLUNO,2015,51,2.196,112.017
ASSAGO,2015,51,2.063,105.214
BARANZATE,2015,51,2.471,126.042
BAREGGIO,2015,51,2.25,114.772
BASIANO,2015,47,1.671,78.559
BASIGLIO,2015,51,2.077,105.941
BELLINZAGO LOMBARDO,2015,51,1.951,99.484
BERNATE TICINO,2015,50,2.001,100.075
BESATE,2015,51,2.09,106.571
BINASCO,2015,51,2.089,106.546
BOFFALORA SOPRA TICINO,2015,49,2.172,106.441
BOLLATE,2015,51,2.484,126.663
BRESSO,2015,51,2.171,110.743
BUBBIANO,2015,51,2.098,106.997
