area_associata,Year,frequency_CO,exposure_CO,intensity_CO
SESTO SAN GIOVANNI,2014,0,0.0,0.0
SETTALA,2014,0,0.0,0.0
SETTIMO MILANESE,2014,0,0.0,0.0
SOLARO,2014,0,0.0,0.0
TREZZANO ROSA,2014,0,0.0,0.0
TREZZANO SUL NAVIGLIO,2014,0,0.0,0.0
TREZZO SULL`ADDA,2014,0,0.0,0.0
TRIBIANO,2014,0,0.0,0.0
TRUCCAZZANO,2014,0,0.0,0.0
TURBIGO,2014,0,0.0,0.0
VANZAGHELLO,2014,0,0.0,0.0
VANZAGO,2014,0,0.0,0.0
VAPRIO D`ADDA,2014,0,0.0,0.0
VERMEZZO CON ZELO,2014,0,0.0,0.0
VERNATE,2014,0,0.0,0.0
VIGNATE,2014,0,0.0,0.0
VILLA CORTESE,2014,0,0.0,0.0
VIMODRONE,2014,0,0.0,0.0
VITTUONE,2014,0,0.0,0.0
VIZZOLO PREDABISSI,2014,0,0.0,0.0
ZIBIDO SAN GIACOMO,2014,0,0.0,0.0
ABBIATEGRASSO,2015,0,0.0,0.0
ALBAIRATE,2015,0,0.0,0.0
ARCONATE,2015,0,0.0,0.0
ARESE,2015,0,0.0,0.0
ARLUNO,2015,0,0.0,0.0
ASSAGO,2015,0,0.0,0.0
BARANZATE,2015,0,0.0,0.0
BAREGGIO,2015,0,0.0,0.0
BASIANO,2015,0,0.0,0.0
BASIGLIO,2015,0,0.0,0.0
BELLINZAGO LOMBARDO,2015,0,0.0,0.0
BERNATE TICINO,2015,0,0.0,0.0
BESATE,2015,0,0.0,0.0
BINASCO,2015,0,0.0,0.0
BOFFALORA SOPRA TICINO,2015,0,0.0,0.0
BOLLATE,2015,0,0.0,0.0
BRESSO,2015,0,0.0,0.0
BUBBIANO,2015,0,0.0,0.0
BUCCINASCO,2015,0,0.0,0.0
BUSCATE,2015,0,0.0,0.0
BUSSERO,2015,0,0.0,0.0
BUSTO GAROLFO,2015,0,0.0,0.0
CALVIGNASCO,2015,0,0.0,0.0
CAMBIAGO,2015,0,0.0,0.0
CANEGRATE,2015,0,0.0,0.0
CARPIANO,2015,0,0.0,0.0
CARUGATE,2015,0,0.0,0.0
CASARILE,2015,0,0.0,0.0
CASOREZZO,2015,0,0.0,0.0
CASSANO D`ADDA,2015,0,0.0,0.0
CASSINA DE PECCHI,2015,0,0.0,0.0
CASSINETTA DI LUGAGNANO,2015,0,0.0,0.0
CASTANO PRIMO,2015,0,0.0,0.0
CERNUSCO SUL NAVIGLIO,2015,0,0.0,0.0
CERRO AL LAMBRO,2015,0,0.0,0.0
CERRO MAGGIORE,2015,0,0.0,0.0
CESANO BOSCONE,2015,0,0.0,0.0
CESATE,2015,0,0.0,0.0
CINISELLO BALSAMO,2015,0,0.0,0.0
CISLIANO,2015,0,0.0,0.0
COLOGNO MONZESE,2015,0,0.0,0.0
COLTURANO,2015,0,0.0,0.0
CORBETTA,2015,0,0.0,0.0
CORMANO,2015,0,0.0,0.0
CORNAREDO,2015,0,0.0,0.0
CORSICO,2015,0,0.0,0.0
CUGGIONO,2015,0,0.0,0.0
CUSAGO,2015,0,0.0,0.0
CUSANO MILANINO,2015,0,0.0,0.0
DAIRAGO,2015,0,0.0,0.0
DRESANO,2015,0,0.0,0.0
GAGGIANO,2015,0,0.0,0.0
GARBAGNATE MILANESE,2015,0,0.0,0.0
GESSATE,2015,0,0.0,0.0
GORGONZOLA,2015,0,0.0,0.0
GREZZAGO,2015,0,0.0,0.0
GUDO VISCONTI,2015,0,0.0,0.0
INVERUNO,2015,0,0.0,0.0
INZAGO,2015,0,0.0,0.0
LACCHIARELLA,2015,0,0.0,0.0
LAINATE,2015,0,0.0,0.0
LEGNANO,2015,0,0.0,0.0
