Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"San Fiorano";35;40;39;40;44;38;45;41;37;35;35;
"San Giorgio su Legnano";120;124;119;118;112;118;127;124;132;136;127;
"San Giuliano Milanese";567;608;642;682;699;725;740;719;715;690;697;
"San Martino in Strada";56;63;61;59;67;65;66;70;65;67;70;
"San Rocco al Porto";52;59;61;65;67;63;59;57;56;54;55;
"San Vittore Olona";144;162;169;160;169;171;165;160;161;162;171;
"San Zenone al Lambro";46;50;50;52;56;57;58;57;61;72;64;
"Sant'Angelo Lodigiano";273;277;269;295;284;283;279;269;246;256;254;
"Santo Stefano Lodigiano";28;32;36;40;38;41;45;46;40;41;37;
"Santo Stefano Ticino";76;84;81;76;74;76;74;82;76;76;75;
"Secugnago";36;37;42;39;41;44;41;39;45;45;46;
"Sedriano";147;158;160;178;188;185;203;200;217;209;198;
"Segrate";534;584;601;593;625;656;667;669;649;676;699;
"Senago";291;311;318;328;344;346;363;362;332;362;370;
"Senna Lodigiana";53;48;46;48;48;48;43;43;39;37;34;
"Sesto San Giovanni";1446;1500;1577;1608;1690;1706;1691;1654;1637;1619;1610;
"Settala";101;100;104;112;109;117;120;123;114;123;121;
"Settimo Milanese";276;305;309;315;324;348;350;354;354;351;372;
"Solaro";187;197;202;211;216;217;207;198;193;190;203;
"Somaglia";57;62;64;70;65;68;63;67;52;49;63;
"Sordio";31;39;41;50;53;58;50;53;54;64;65;
"Tavazzano con Villavesco";88;84;89;105;111;117;127;117;115;113;110;
"Terranova dei Passerini";13;11;10;12;14;15;13;12;11;11;10;
"Trezzano Rosa";48;48;54;62;69;66;58;58;60;66;68;
"Trezzano sul Naviglio";310;316;330;347;367;385;398;382;374;378;391;
"Trezzo sull'Adda";148;172;179;176;181;181;185;196;195;184;179;
"Tribiano";40;42;42;41;47;52;58;65;69;66;60;
"Truccazzano";72;75;84;94;97;99;97;90;92;88;90;
"Turano Lodigiano";32;33;39;40;32;37;32;24;34;30;31;
"Turbigo";118;121;128;136;144;145;152;156;161;174;168;
"Valera Fratta";19;20;16;15;15;18;21;21;19;23;27;
"Vanzaghello";71;77;79;86;84;89;85;82;91;82;86;
"Vanzago";117;121;134;141;151;158;168;163;153;158;156;
"Vaprio d'Adda";88;98;111;110;132;129;126;125;129;124;122;
"Vermezzo con Zelo";85;83;90;76;82;79;69;78;77;87;78;
"Vernate";38;42;48;49;52;58;58;54;53;50;51;
"Vignate";117;129;133;140;139;146;134;121;122;128;135;
"Villa Cortese";103;109;113;112;122;124;134;133;137;132;135;
"Villanova del Sillaro";21;26;25;23;27;31;33;28;23;30;29;
"Vimodrone";235;265;272;278;279;302;298;320;321;335;349;
"Vittuone";125;127;124;133;147;147;166;162;154;159;159;
"Vizzolo Predabissi";58;67;73;71;70;74;82;83;89;79;83;
"Zelo Buon Persico";115;120;121;120;129;119;120;110;120;119;118;
"Zibido San Giacomo";92;101;103;111;110;116;109;105;106;110;110;
