Comune,2013,2014,2015,2016,2017,2018,2019
Carugate,0.012771216698709146,0.012928688078388676,0.01254637436762226,0.012584060190425461,0.01386230114198957,0.01432198424581733,0.014944685255871126
Casarile,0.010229540918163672,0.012006861063464836,0.014324524573968881,0.015255905511811024,0.015563241106719368,0.015289765721331689,0.014335145823035097
Casorezzo,0.012749445676274944,0.014136221773453276,0.01569916027747353,0.015485516487520496,0.015056922511935366,0.013456221198156683,0.013655656025096882
Cassano d'Adda,0.01356735221277054,0.014231805929919137,0.015015338248748723,0.014731182795698924,0.015223238300161377,0.015739600621018257,0.015493486302471453
Cassina de' Pecchi,0.012663919070813039,0.013760785480511753,0.014976873944644298,0.016060428278087416,0.016602344717104783,0.01811725487354156,0.017124277456647397
Cassinetta di Lugagnano,0.012092534174553101,0.01368421052631579,0.014814814814814815,0.017478813559322032,0.017970401691331923,0.017048481619605753,0.016820401519262073
Castano Primo,0.012933357283994971,0.014417480075221634,0.013296448331251116,0.015107082555762907,0.015563506261180679,0.015410805483379626,0.01518418688230009
Cernusco sul Naviglio,0.015565307991033372,0.016782264057468417,0.017395823779387937,0.017117198565530543,0.017486046787792423,0.01820945254727735,0.01816551444852622
Cerro Maggiore,0.01289511969316228,0.013624156677801794,0.01434278603706857,0.015309126594700687,0.016521340064249657,0.017029390492471562,0.017887675917401025
Cerro al Lambro,0.0106,0.011363636363636364,0.012284525460669705,0.013516199562711191,0.014526894385551629,0.014156508061344868,0.014705882352941176
Cesano Boscone,0.016831258050665522,0.016570392545431547,0.018110601019247777,0.018084564442180335,0.01882594557590279,0.019626491440428842,0.02086284610431423
Cesate,0.014267278462862059,0.014341498047568336,0.015398742671469944,0.017184074676472667,0.016409606310303543,0.017072488105233697,0.017228150938132104
Cinisello Balsamo,0.016332429005739526,0.016640919315933544,0.01753983875751611,0.017985952281062645,0.018632202477113623,0.019190052998530067,0.018918003927144694
Cisliano,0.011873350923482849,0.012406417112299466,0.012959866220735786,0.013330556134138721,0.01553556827473426,0.014778325123152709,0.014842300556586271
Cologno Monzese,0.017583918396961225,0.018539731025412582,0.01889307324503872,0.019318662716885315,0.02000978161481702,0.02092522747128641,0.02090138559747219
Colturano,0.013745704467353952,0.013651877133105802,0.01407766990291262,0.013493975903614458,0.01800486618004866,0.018304431599229287,0.017114914425427872
Corbetta,0.01426422243271856,0.015185819205919708,0.015972145462584283,0.016589760492199516,0.01761391608774137,0.018173831878328665,0.018153160497853146
Cormano,0.015997629980743593,0.015712238746973663,0.01595116187475384,0.016457447860037562,0.017659279778393353,0.019116186693147963,0.01910106828139615
Cornaredo,0.01324470211915234,0.014267120544653584,0.015053763440860216,0.01597332802547771,0.01651823473804667,0.017188122758070943,0.017418646436414453
Corsico,0.018263386396526773,0.01772056913619441,0.01875090566584553,0.020283322601416614,0.021067540054881827,0.021728805509380195,0.021428784311387953
Cuggiono,0.014062117877231597,0.015463289906246194,0.015307982019195723,0.01703222644283789,0.01698851136641408,0.017439024390243904,0.017015546578528582
Cusago,0.01056338028169014,0.011061364234922308,0.011253598534415075,0.010232796111537478,0.012509573653306101,0.01249375312343828,0.011901870293903327
Cusano Milanino,0.01960161051070142,0.019396781413194075,0.01978446195914428,0.020894229728266753,0.022056013539335045,0.02200622508600448,0.022315582714971628
Dairago,0.012616201859229747,0.013194331324319922,0.013844684914067472,0.015321434212604644,0.015285219035612984,0.016885553470919325,0.016229712858926344
Dresano,0.01675797615211086,0.01527958387516255,0.017515407071034706,0.02129750982961992,0.018506278916060808,0.02109426499670402,0.02411628675256029
Gaggiano,0.013859394210349837,0.013933786645858879,0.01597692222345501,0.015927823568723548,0.015002757859900717,0.01632472975954114,0.017296463589291617
Garbagnate Milanese,0.01736732259988074,0.017968081544585394,0.01848964134551125,0.018261613419124485,0.019765036205113048,0.019461299393221845,0.01947694677768404
Gessate,0.010888057162300102,0.011078782452999104,0.011736824286197945,0.013020833333333334,0.01435514863795637,0.014643633451550167,0.015535097813578827
Gorgonzola,0.013467672522910232,0.014975796692214603,0.014899078874515529,0.015778401122019635,0.016869028662420384,0.017350469599604547,0.01721776560360008
Grezzago,0.009602194787379973,0.010249402118209771,0.012850082372322899,0.012537116463213462,0.014116874589625739,0.013598673300165837,0.012692050768203072
Gudo Visconti,0.015863689776733254,0.014475271411338963,0.015719467956469165,0.014652014652014652,0.017791411042944787,0.014879107253564786,0.0161090458488228
Inveruno,0.016598955310504933,0.018223760092272202,0.01896672096811729,0.01994401679496151,0.022136782010951882,0.022541462275169354,0.022328177695080824
Inzago,0.014079288625416821,0.015233056645078902,0.015646196979289137,0.016269662921348314,0.016668160229411238,0.01616504420827007,0.016074298981961065
Lacchiarella,0.015002885170225043,0.015132552053703494,0.016098165034335248,0.01722003376477209,0.016207090602138437,0.017359936872956824,0.017251036182368097
Lainate,0.014413558248198306,0.015034043055610216,0.01536587282873536,0.015559757346568975,0.01627906976744186,0.01781763590391909,0.018785050394133102
Legnano,0.014178045153440583,0.015812468492690305,0.016407193665279828,0.01704296914431845,0.017746393420520427,0.018097479219218202,0.018632279027263034
Liscate,0.009013398294762484,0.009689922480620155,0.01192794547224927,0.009598818606940684,0.010128458498023716,0.008866995073891626,0.008860447944868325
Locate di Triulzi,0.013724704468042477,0.014168828577130314,0.015584673416716299,0.015102161681966242,0.015429403202328967,0.01645409405121215,0.015217602016089949
Magenta,0.01838743093922652,0.018316278269842636,0.01971012014194707,0.020022907563738174,0.02038152187644755,0.020079815164881328,0.020076801068536605
Magnago,0.012262615301139446,0.014378378378378378,0.013680922115695358,0.013485812924803107,0.01321633625826021,0.013467644804554911,0.014871906209292228
Marcallo con Casone,0.014861995753715499,0.014682155534043239,0.016778523489932886,0.01547543075941289,0.016466826538768985,0.016354016354016353,0.016617790811339198
Masate,0.007617931438617052,0.009030002912904166,0.009792626728110598,0.010574449842812233,0.01197080291970803,0.012683770539060248,0.011347517730496455
Mediglia,0.01731244847485573,0.01870396424728958,0.018842865443678924,0.01909030544488712,0.019756585528509504,0.02000504328822392,0.020430377627061878
Melegnano,0.020349339943506083,0.019695664656904966,0.020436122845073637,0.02276707530647986,0.02230275996654586,0.022378163332964968,0.022301762114537445
Melzo,0.017357344326318074,0.0186607529208135,0.019229727533719734,0.019043021135071343,0.019367716875269746,0.01894714178060071,0.01963457867466594
Mesero,0.01443145060960438,0.01506544825882934,0.016886930983847283,0.012071463061323033,0.014230583695127834,0.014450867052023121,0.01482544237207078
Morimondo,0.011945392491467578,0.011705685618729096,0.011206896551724138,0.012466607301869992,0.013357079252003561,0.016289592760180997,0.017823639774859287
Motta Visconti,0.015016975711674067,0.01587095095615975,0.017120622568093387,0.01757311441765008,0.016617665857088074,0.016025236593059936,0.015706806282722512
Nerviano,0.014843479265334412,0.01633930123413871,0.017264353166096983,0.01648511679384866,0.017082017082017082,0.017517046790500822,0.016848306332842414
Nosate,0.015471167369901548,0.017142857142857144,0.017543859649122806,0.01903367496339678,0.01624815361890694,0.015082956259426848,0.01848998459167951
Novate Milanese,0.016063856323272636,0.01681972449590737,0.017104672617563457,0.017341329335332334,0.018542582966813274,0.018880208333333332,0.020232222056112026
Noviglio,0.013454960091220068,0.015649807212519847,0.015891032917139614,0.017869260348337482,0.017241379310344827,0.01821043165467626,0.01775016640781007
Opera,0.015793413173652696,0.0170597834149236,0.0179166358184645,0.01848155540770311,0.019413192146481358,0.020143989528034326,0.020151679306608883
Ossona,0.014660676282809175,0.018045465198031404,0.017466231951560315,0.018805829807240243,0.02044653349001175,0.021657250470809793,0.020905923344947737
Ozzero,0.012516469038208168,0.011772400261608895,0.011132940406024885,0.015425888665325285,0.016801075268817203,0.017158544955387784,0.018802228412256268
Paderno Dugnano,0.014926640762681275,0.01532946758039009,0.014978586949642412,0.015255853374298125,0.015315296257906204,0.015897079569620786,0.015985413839891452
Pantigliate,0.015821708063967335,0.0178755586112066,0.019123371128786596,0.020128552097428958,0.019469620678079894,0.019159036961681926,0.0190361859029326
Parabiago,0.012837489884499375,0.013262599469496022,0.014410054534291596,0.01551811046302297,0.016607482334373543,0.0167968332085161,0.017407710654658074
Paullo,0.01776740847092606,0.0187638950644731,0.02000531114455165,0.021699024861635774,0.022697281604645025,0.02369165487977369,0.022376749576535616
Pero,0.015122693551455202,0.016541213641854846,0.01728760284736988,0.01905726385564353,0.01957018747142204,0.018753397354593224,0.019336271247414334
Peschiera Borromeo,0.013598280475501162,0.014489609995227973,0.016143652609314975,0.01643202533270572,0.017198808003405706,0.01751681014176196,0.01827865360034086
Pessano con Bornago,0.012081274025260845,0.012512347711557459,0.012934341773539406,0.013620386643233744,0.014654032613486117,0.015144815388016803,0.015352330461674397
Pieve Emanuele,0.012953028915347376,0.014735475494969166,0.014553147839466598,0.015107088220295767,0.01426569863711629,0.016120777891504606,0.016207559256886613
Pioltello,0.013596286428434093,0.01464910599381178,0.014411748588963779,0.014933582684744644,0.015601864546202358,0.01644582793862428,0.016443395190512793
Pogliano Milanese,0.009946627850557981,0.012303980699638117,0.013216388321518684,0.013910540832234081,0.013683831472812387,0.014087870105062083,0.01433349259436216
Pozzo d'Adda,0.007944557133198107,0.00901051226430836,0.01016327890703099,0.00985545335085414,0.010455807874530305,0.010011488593467914,0.011964430072756669
Pozzuolo Martesana,0.013681895919863182,0.014989032415305874,0.015062055669357755,0.016119402985074627,0.016273782457819793,0.01685325628987601,0.01717195641875888
Pregnana Milanese,0.013436249285305889,0.013755552371399913,0.014691340584828365,0.01578432742003073,0.01624225739848589,0.01764705882352941,0.018134715025906734
Rescaldina,0.01312910284463895,0.014281694104404108,0.015035480924611818,0.015018418815528478,0.015832445864394747,0.017459532056266346,0.01692166678417824
Rho,0.015417152570513707,0.016050313467185145,0.017333678282154867,0.01744522200291086,0.018480696397057364,0.019259728937148293,0.02012108617899175
Robecchetto con Induno,0.012702315099364885,0.014757122361139578,0.015625,0.014992811665639762,0.014808720691073632,0.01634933774834437,0.014531866306829977
Robecco sul Naviglio,0.014102936900261704,0.014344262295081968,0.015519765739385067,0.01667158453821186,0.017510016322896574,0.01794526693584567,0.017843866171003718
Rodano,0.013415672913117547,0.013763440860215054,0.0146899978397062,0.014883520276100086,0.015457277801631602,0.016623488773747842,0.015371102327624066
Rosate,0.016592920353982302,0.017866909753874203,0.01689432063263839,0.01607773851590106,0.016931401640775005,0.017608089260808927,0.01850250734912675
Rozzano,0.01533557128021832,0.016161760844135693,0.016624193202657966,0.01757108410724091,0.018763796909492272,0.018644718529538803,0.018907866249699302
San Donato Milanese,0.017583735833570098,0.01794694493336686,0.018644280953279257,0.0195535074882461,0.020795546938520232,0.02081262425447316,0.020933180792183297
San Giorgio su Legnano,0.017657445556209534,0.018240659017358045,0.017231392991601507,0.01729951619997068,0.01654357459379616,0.017606684571769622,0.018943914081145586
San Giuliano Milanese,0.01518600851702065,0.016145307769929364,0.016970209616452115,0.017964387314297756,0.01843257212172354,0.019183446670018256,0.01947317175863793
San Vittore Olona,0.01733477789815818,0.019401197604790418,0.02019839847018047,0.01908169350029815,0.020162252445717014,0.02054054054054054,0.019954045229169187
San Zenone al Lambro,0.010921177587844255,0.011582117211026175,0.011652295502213935,0.011810129457188281,0.0128,0.01296338412554014,0.013226909920182441
Santo Stefano Ticino,0.015497553017944535,0.016932070147147753,0.01616121308858739,0.015224358974358974,0.014982790038469326,0.015328761597418314,0.014767511474755537
Sedriano,0.012715163048179223,0.013499658236500341,0.01356391997287216,0.014896644070633526,0.015580971324382563,0.015132924335378323,0.01664343691071575
Segrate,0.0155880549960592,0.01692900831956402,0.017318886519508962,0.017092785288098464,0.01797785128721415,0.018785796105383733,0.018911792225467124
Senago,0.013713477851083884,0.014575619815344238,0.014711324944485566,0.015096423804482902,0.015911193339500463,0.016025195683386596,0.016898654625017457
Sesto San Giovanni,0.018190509736828862,0.01869601525594845,0.01949826283707761,0.019802467919509372,0.020710530508204556,0.020876928913200435,0.020706037934539043
Settala,0.01363390928725702,0.013531799729364006,0.014033193900958035,0.015126958400864398,0.01480575930453681,0.01601423487544484,0.01642935377875137
Settimo Milanese,0.01399523350742863,0.015358275844705171,0.015531540588087459,0.01595663846816271,0.016411711072839633,0.017644374588044416,0.01772510888281171
