Comune,2013,2014,2015,2016,2017,2018,2019
Bussero,0.2246200255250029,0.23389242336610758,0.2461627906976744,0.251074706634135,0.25867544994706504,0.26868327402135234,0.27158145065398337
Busto Garolfo,0.2342567418620031,0.2394345671815797,0.24604786076867294,0.24893663037992936,0.25324769053117785,0.2582905859403222,0.2592138478182474
Calvignasco,0.22036727879799667,0.23031825795644892,0.24201680672268908,0.24161073825503357,0.24313072439633637,0.26248941574936496,0.2602965403624382
Cambiago,0.2036117381489842,0.20893737856822597,0.21513177376369558,0.21940056105123285,0.2283118405627198,0.23037790697674418,0.23268897864974034
Canegrate,0.25494891443167306,0.26154337753634765,0.2637883904164657,0.27228041901692185,0.27254460697637034,0.2762417617746343,0.27284314506492474
Carpiano,0.19671314741035856,0.20088954781319496,0.20268948655256724,0.20201029664133366,0.21026894865525672,0.21636716852841184,0.21605980226669882
Carugate,0.2121669870914584,0.22182906913445835,0.22414839797639124,0.22917637658965312,0.23843157964222061,0.24275763296660374,0.24649026331112117
Casarile,0.18987025948103792,0.1955403087478559,0.19881452210422326,0.20275590551181102,0.20652173913043478,0.2120838471023428,0.21403855659911022
Casorezzo,0.21526237989652625,0.21938681843216448,0.22325666301569916,0.22627072326471123,0.23228057289753948,0.24,0.23915851633142646
Cassano d'Adda,0.23247550339183806,0.23908355795148248,0.2450890694795759,0.2478494623655914,0.2525551371705218,0.2561700305155522,0.25754570310405833
Cassina de' Pecchi,0.22802547770700637,0.23408211841713775,0.2375743337493576,0.24339982399530655,0.2485254496468361,0.24842379882600188,0.25166184971098265
Cassinetta di Lugagnano,0.23817034700315456,0.24789473684210525,0.24761904761904763,0.24947033898305085,0.24471458773784355,0.2567927543953117,0.2615301139446555
Castano Primo,0.2381893299802407,0.24447031431897556,0.24308406210958416,0.2469563671909713,0.2527728085867621,0.25777260102141386,0.25525606469002693
Cernusco sul Naviglio,0.2348056704448584,0.23711914788209065,0.24082056926228254,0.24265437121417593,0.24513121957012232,0.24531610791219713,0.246420410170374
Cerro Maggiore,0.24256050786932945,0.24687233903189887,0.2531272512934704,0.25704939483153416,0.264144758408182,0.2666184496022092,0.2725240036827568
