Comune;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
"Orio Litta";544;559;569;592;583;585;587;592;585;603;616;
"Ospedaletto Lodigiano";405;416;418;424;422;436;431;438;438;460;453;
"Ossago Lodigiano";355;387;381;378;379;386;388;384;389;401;415;
"Ossona";1037;1050;1053;1082;1105;1125;1144;1115;1118;1131;1178;
"Ozzero";371;385;389;402;405;406;408;403;400;395;396;
"Paderno Dugnano";11762;12024;12074;12389;12559;12735;12898;12845;12906;13154;13427;
"Pantigliate";1426;1451;1489;1528;1566;1566;1581;1565;1590;1607;1639;
"Parabiago";6556;6778;6811;7024;7180;7249;7261;7307;7402;7411;7587;
"Paullo";2657;2760;2829;2906;2918;2945;2946;2910;2992;3065;3161;
"Pero";2687;2730;2803;2837;2879;2941;2925;2914;2932;2938;2979;
"Peschiera Borromeo";5180;5296;5424;5580;5782;5858;5863;5882;5920;6050;6204;
"Pessano con Bornago";1950;1987;2050;2107;2161;2196;2235;2271;2295;2297;2347;
"Pieve Emanuele";3468;3536;3635;3748;3835;3956;4003;4032;4139;4164;4290;
"Pieve Fissiraga";299;328;322;340;351;374;379;407;424;409;413;
"Pioltello";7740;7920;8125;8322;8485;8634;8742;8775;8868;8973;9091;
"Pogliano Milanese";2024;2085;2123;2182;2281;2308;2322;2366;2366;2333;2413;
"Pozzo d'Adda";1139;1172;1203;1250;1285;1324;1359;1346;1379;1360;1464;
"Pozzuolo Martesana";1872;1933;2008;2067;2146;2197;2253;2249;2327;2339;2369;
"Pregnana Milanese";1739;1775;1842;1893;1937;1969;2013;2024;2065;2051;2106;
"Rescaldina";3573;3724;3791;3919;3956;3997;3929;3877;3981;3949;4036;
"Rho";13655;13827;13970;14158;14428;14616;14582;14537;14582;14610;14911;
"Robecchetto con Induno";1266;1256;1270;1300;1331;1326;1331;1347;1335;1308;1331;
"Robecco sul Naviglio";1552;1610;1647;1695;1759;1782;1808;1786;1813;1809;1857;
"Rodano";931;951;986;1006;1018;1069;1085;1062;1093;1118;1186;
"Rosate";1262;1321;1374;1425;1442;1472;1502;1513;1537;1560;1598;
"Rozzano";10300;10443;10654;10749;10938;11117;11229;11295;11448;11538;11673;
"Salerano sul Lambro";637;649;667;707;701;705;728;743;764;779;804;
"San Colombano al Lambro";1949;1980;1997;2066;2060;2064;2049;1994;2056;2036;2114;
"San Donato Milanese";7967;8186;8328;8466;8559;8680;8716;8611;8731;8839;8967;
"San Fiorano";398;402;428;437;450;449;465;462;461;479;490;
"San Giorgio su Legnano";1696;1715;1745;1785;1809;1799;1808;1816;1837;1881;1889;
"San Giuliano Milanese";8714;8987;9238;9426;9614;9822;9869;9822;9923;10003;10176;
"San Martino in Strada";863;897;909;943;977;986;1001;1018;1022;1036;1041;
"San Rocco al Porto";784;793;827;834;837;831;817;794;820;825;854;
"San Vittore Olona";1964;2022;2059;2103;2167;2178;2202;2135;2181;2194;2225;
"San Zenone al Lambro";887;909;942;956;992;1012;1021;1041;1090;1110;1165;
"Sant'Angelo Lodigiano";3134;3205;3205;3291;3305;3350;3366;3410;3496;3608;3683;
"Santo Stefano Lodigiano";445;454;446;467;473;476;472;467;470;463;474;
"Santo Stefano Ticino";1095;1131;1136;1165;1197;1216;1238;1250;1255;1281;1318;
"Secugnago";472;476;496;496;500;505;501;508;514;532;530;
"Sedriano";2569;2677;2726;2833;2902;2939;3006;3070;3137;3157;3275;
"Segrate";8089;8287;8489;8648;8853;8995;9070;9108;9270;9387;9620;
