age_group,Comune,Sesso,Popolazione,Year
Young,Settimo Milanese,Maschi,2830,2011
Young,Solaro,Femmine,2168,2011
Young,Solaro,Maschi,2257,2011
Young,Trezzano Rosa,Femmine,765,2011
Young,Trezzano Rosa,Maschi,792,2011
Young,Trezzano sul Naviglio,Femmine,2842,2011
Young,Trezzano sul Naviglio,Maschi,2900,2011
Young,Trezzo sull'Adda,Femmine,1580,2011
Young,Trezzo sull'Adda,Maschi,1742,2011
Young,Tribiano,Femmine,536,2011
Young,Tribiano,Maschi,565,2011
Young,Truccazzano,Femmine,870,2011
Young,Truccazzano,Maschi,979,2011
Young,Turbigo,Femmine,1032,2011
Young,Turbigo,Maschi,1066,2011
Young,Vanzaghello,Femmine,747,2011
Young,Vanzaghello,Maschi,774,2011
Young,Vanzago,Femmine,1262,2011
Young,Vanzago,Maschi,1317,2011
Young,Vaprio d'Adda,Femmine,1179,2011
Young,Vaprio d'Adda,Maschi,1223,2011
Young,Vermezzo con Zelo,Femmine,882,2011
Young,Vermezzo con Zelo,Maschi,854,2011
Young,Vernate,Femmine,439,2011
Young,Vernate,Maschi,481,2011
Young,Vignate,Femmine,1412,2011
Young,Vignate,Maschi,1449,2011
Young,Villa Cortese,Femmine,826,2011
Young,Villa Cortese,Maschi,895,2011
Young,Vimodrone,Femmine,2274,2011
Young,Vimodrone,Maschi,2346,2011
Young,Vittuone,Femmine,1357,2011
Young,Vittuone,Maschi,1382,2011
Young,Vizzolo Predabissi,Femmine,579,2011
Young,Vizzolo Predabissi,Maschi,612,2011
Young,Zibido San Giacomo,Femmine,1044,2011
Young,Zibido San Giacomo,Maschi,1066,2011
Middle-age,Abbiategrasso,Femmine,7973,2011
Middle-age,Abbiategrasso,Maschi,7881,2011
Middle-age,Albairate,Femmine,1209,2011
Middle-age,Albairate,Maschi,1282,2011
Middle-age,Arconate,Femmine,1742,2011
Middle-age,Arconate,Maschi,1780,2011
Middle-age,Arese,Femmine,5186,2011
Middle-age,Arese,Maschi,4609,2011
Middle-age,Arluno,Femmine,2984,2011
Middle-age,Arluno,Maschi,3093,2011
Middle-age,Assago,Femmine,2266,2011
Middle-age,Assago,Maschi,2158,2011
Middle-age,Baranzate,Femmine,2748,2011
Middle-age,Baranzate,Maschi,2915,2011
Middle-age,Bareggio,Femmine,4554,2011
Middle-age,Bareggio,Maschi,4433,2011
Middle-age,Basiano,Femmine,1016,2011
Middle-age,Basiano,Maschi,1015,2011
Middle-age,Basiglio,Femmine,2189,2011
Middle-age,Basiglio,Maschi,1930,2011
Middle-age,Bellinzago Lombardo,Femmine,1009,2011
Middle-age,Bellinzago Lombardo,Maschi,1003,2011
Middle-age,Bernate Ticino,Femmine,803,2011
Middle-age,Bernate Ticino,Maschi,818,2011
Middle-age,Besate,Femmine,523,2011
Middle-age,Besate,Maschi,549,2011
Middle-age,Binasco,Femmine,1867,2011
Middle-age,Binasco,Maschi,1770,2011
