,I1,I2,I3,I4,Year,Comune,IMED,IFQ,ITQ,PI1,PI2,PI3,PI4,TI1,TI2,TI3,TI4,MI1,MI2,MI3,MI4
1,704,1637,852,70,2012  ,Albairate,27690.72,10703.24,69539.38,0.21575237511492493,0.5016855654305854,0.2611094085197671,0.021452650934722647,0.049231343468715896,0.406529009247775,0.440934474348498,0.10330517293501112,5110.65,18148.89,37821.76,107852.77
2,688,1586,930,65,2013  ,Albairate,27400.56,10559.65,68896.77,0.21046191495870298,0.4851636586111961,0.2844906699296421,0.019883756500458857,0.043393526716270364,0.39001896880575126,0.46440144658270865,0.10218605789526972,4657.18,18158.04,36872.04,116081.98
3,705,1550,961,66,2014  ,Albairate,27378.8,10639.52,70116.98,0.21480804387568556,0.47227300426569163,0.29280926264472884,0.02010968921389397,0.04597129189518163,0.37831723607073114,0.4753508222316301,0.10036064980245714,4880.16,18266.73,37019.23,113803.61
4,663,1554,1006,66,2015  ,Albairate,27539.04,10558.04,69569.41,0.2015810276679842,0.472484037701429,0.3058680449984798,0.020066889632107024,0.039219661193979814,0.37040756776808803,0.4914878643282531,0.09888490670967905,4515.67,18195.37,37294.69,114371.61
5,647,1607,1016,70,2016  ,Albairate,27626.15,10554.46,70621.51,0.1937125748502994,0.4811377245508982,0.30419161676646705,0.020958083832335328,0.03946716954885345,0.37590624645289733,0.48433891652396593,0.10028766747428325,4780.82,18333.05,37361.71,112284.69
6,685,1605,1015,69,2017  ,Albairate,27552.96,10538.55,69365.89,0.2030231179608773,0.475696502667457,0.3008298755186722,0.02045050385299348,0.031471356761344584,0.37776775752441555,0.491201214239071,0.0995596714751689,3579.41,18337.36,37703.38,112414.23
7,670,1535,1082,76,2018  ,Albairate,27547.57,10547.28,69797.62,0.1992268807612251,0.45643770443056797,0.32173654475170976,0.022598870056497175,0.04175608902248675,0.3511988679620207,0.5010114253858557,0.10603361762963678,5028.84,18461.52,37363.13,112577.82
8,645,1519,1103,76,2019  ,Albairate,27518.25,10556.36,70592.43,0.1929404726293748,0.4543822913550703,0.32994316482201613,0.02273407119353874,0.0391131379812398,0.3458636834503323,0.5106031844235346,0.10441999414489325,4899.21,18395.44,37399.95,111002.59
0,841,2556,1150,67,2011,Arconate,26957.89,10915.59,70160.43,0.182271348071088,0.5539661898569571,0.2492414390983962,0.014521022973558735,0.04140376261389621,0.4678946392465602,0.4123086695977648,0.07839292854177875,4967.19,18469.46,36173.59,118050.84
1,860,2598,1170,63,2012  ,Arconate,27145.18,10850.36,70392.74,0.18332978043061182,0.5538264762310808,0.2494137710509486,0.013429972287358772,0.04100533699345153,0.4628891429620683,0.4170329517762462,0.07907256826823393,4931.67,18428.49,36866.88,129818.67
2,841,2472,1262,72,2013  ,Arconate,27165.81,10867.36,70338.5,0.1809769743920809,0.5319561007101355,0.2715730578868087,0.015493867010974823,0.03951346777752779,0.4438186446849712,0.43725432850479157,0.07941355903270945,4900.93,18727.78,36141.32,115051.26
3,822,2441,1292,76,2014  ,Arconate,27038.82,10846.72,70289.53,0.1774994601597927,0.5270999784063917,0.2789894191319369,0.016411142301878644,0.03895970718327859,0.43343748922879305,0.44659710199811464,0.08100570158981373,4979.18,18654.04,36313.45,111973.74
4,811,2406,1358,83,2015  ,Arconate,27246.57,10746.47,70108.1,0.17410905968226706,0.5165306998711894,0.29154143409188493,0.017818806354658653,0.03512862511145507,0.4212522846910895,0.46170576840481914,0.08191332179263631,4632.32,18724.27,36359.99,105544.27
