Comune,Cardio_incidence,Year,Multiplicator,Label
Cassinetta di Lugagnano,0.2478947368421052,2014,1.0,1
Castano Primo,0.2444703143189755,2014,0.0,1
Cernusco sul Naviglio,0.2371191478820906,2014,0.0,0
Cerro Maggiore,0.2468723390318988,2014,1.0,1
Cerro al Lambro,0.24481658692185,2014,0.0,1
Cesano Boscone,0.2605304212168486,2014,2.0,1
Cesate,0.2367057152999645,2014,0.0,0
Cinisello Balsamo,0.2653874298723473,2014,3.0,1
Cisliano,0.2083422459893048,2014,3.0,0
Cologno Monzese,0.2649654236137627,2014,2.0,1
Colturano,0.196977084349098,2014,4.0,0
Corbetta,0.2105030647744215,2014,3.0,0
Cormano,0.2418103661248085,2014,0.0,1
Cornaredo,0.257258710452543,2014,2.0,1
Corsico,0.2745245173020866,2014,3.0,1
Cuggiono,0.2444904419822233,2014,0.0,1
Cusago,0.2109560179088754,2014,3.0,0
Cusano Milanino,0.3093893211126505,2014,7.000000000000001,1
Dairago,0.2055709398924906,2014,3.0,0
Dresano,0.2311443433029908,2014,1.0,0
Gaggiano,0.2421134767584438,2014,0.0,1
Garbagnate Milanese,0.2759569956474833,2014,4.0,1
Gessate,0.1930393912264995,2014,5.0,0
Gorgonzola,0.2347720855183541,2014,1.0,0
Grezzago,0.1967885206696276,2014,4.0,0
Gudo Visconti,0.2129071170084439,2014,3.0,0
Inveruno,0.2559400230680507,2014,2.0,1
Inzago,0.2228404633768129,2014,2.0,0
Lacchiarella,0.2555467061099101,2014,2.0,1
Lainate,0.2514069817781101,2014,1.0,1
Legnano,0.2418585111745925,2014,0.0,1
Liscate,0.2039728682170542,2014,4.0,0
Locate di Triulzi,0.232089403312712,2014,1.0,0
Magenta,0.2670049015392553,2014,3.0,1
Magnago,0.2393513513513513,2014,0.0,0
Marcallo con Casone,0.2341077767021619,2014,1.0,0
Masate,0.2135158753277017,2014,3.0,0
Mediglia,0.2267648762724489,2014,1.0,0
Melegnano,0.2596612115991961,2014,2.0,1
Melzo,0.260655560363479,2014,2.0,1
Mesero,0.2346258335391454,2014,1.0,0
Morimondo,0.2240802675585284,2014,2.0,0
Motta Visconti,0.2433979445817614,2014,0.0,1
Nerviano,0.2623558722985109,2014,2.0,1
Nosate,0.27,2014,3.0,1
Novate Milanese,0.2831403473747255,2014,4.0,1
Noviglio,0.1961896121569517,2014,4.0,0
Opera,0.2772585669781931,2014,4.0,1
Ossona,0.2460745254277009,2014,1.0,1
Ozzero,0.2517985611510791,2014,1.0,1
Paderno Dugnano,0.253537163943068,2014,1.0,1
Pantigliate,0.2493984187005844,2014,1.0,1
Parabiago,0.2462846553540932,2014,1.0,1
Paullo,0.2454424188528234,2014,1.0,1
Pero,0.2536938946194592,2014,1.0,1
Peschiera Borromeo,0.2297514207626567,2014,1.0,0
Pessano con Bornago,0.2180880254637251,2014,2.0,0
Pieve Emanuele,0.2295358649789029,2014,1.0,0
Pioltello,0.2168615317214753,2014,2.0,0
Pogliano Milanese,0.2515078407720145,2014,1.0,1
Pozzo d'Adda,0.195561488403137,2014,4.0,0
Pozzuolo Martesana,0.2355593468194004,2014,0.0,0
Pregnana Milanese,0.2543344318670296,2014,1.0,1
Rescaldina,0.2619952159842409,2014,2.0,1
Rho,0.2743234663915562,2014,3.0,1
Robecchetto con Induno,0.2574298011887682,2014,2.0,1
Robecco sul Naviglio,0.235655737704918,2014,0.0,0
Rodano,0.204516129032258,2014,4.0,0
Rosate,0.2408386508659981,2014,0.0,1
Rozzano,0.2493017259901167,2014,1.0,1
San Donato Milanese,0.257291928589389,2014,2.0,1
San Giorgio su Legnano,0.2522800823771697,2014,1.0,1
San Giuliano Milanese,0.2386478304742684,2014,0.0,0
San Vittore Olona,0.2421556886227545,2014,0.0,1
San Zenone al Lambro,0.2105628908964558,2014,3.0,0
Santo Stefano Ticino,0.2279782301955251,2014,1.0,0
Sedriano,0.2287252221462747,2014,1.0,0
Segrate,0.2402237875757312,2014,0.0,1
Senago,0.2462389276843042,2014,1.0,1
Sesto San Giovanni,0.2698333561840186,2014,3.0,1
Settala,0.2224627875507442,2014,2.0,0
Settimo Milanese,0.230223072662269,2014,1.0,0
Solaro,0.2347011724335144,2014,1.0,0
Trezzano Rosa,0.1923382294561333,2014,5.0,0
Trezzano sul Naviglio,0.2412566975158304,2014,0.0,1
Trezzo sull'Adda,0.2615282170800732,2014,2.0,1
Tribiano,0.1840159271899886,2014,6.0,0
Truccazzano,0.2130384167636786,2014,3.0,0
Turbigo,0.2594159388646288,2014,2.0,1
Vanzaghello,0.26,2014,2.0,1
Vanzago,0.2271062271062271,2014,1.0,0
Vaprio d'Adda,0.2063084112149532,2014,3.0,0
Vermezzo con Zelo,0.180612064390589,2014,6.0,0
Vernate,0.2043795620437956,2014,4.0,0
Vignate,0.2237099934683213,2014,2.0,0
Villa Cortese,0.2465422965583789,2014,1.0,1
Vimodrone,0.2320843091334894,2014,1.0,0
Vittuone,0.2262897048884884,2014,1.0,0
Vizzolo Predabissi,0.2582029278142352,2014,2.0,1
Zibido San Giacomo,0.2008988764044944,2014,4.0,0
San Siro Baggio Trenno,0.2435273517337503,2014,0.0,1
Barona Lorenteggio,0.254778098448001,2014,1.0,1
Centro Storico,0.1955039732329569,2014,4.0,0
Città Studi Lambrate,0.2293737396850821,2014,1.0,0
Fiera Gallaratese Quarto Oggiaro,0.248577615254593,2014,1.0,1
Stazione Centrale Bicocca,0.208286996454411,2014,3.0,0
Stazione Garibaldi Niguarda,0.2261675982561523,2014,1.0,0
Vigentino Chiaravalle Gratosoglio,0.2361126953347781,2014,0.0,0
Vittoria Forlanini,0.2372860760788928,2014,0.0,0
Abbiategrasso,0.2550233281493002,2015,2.0,1
Albairate,0.2350555081127241,2015,0.0,0
Arconate,0.2271973466003316,2015,1.0,0
Arese,0.2650328318080761,2015,3.0,1
Arluno,0.2542415588778767,2015,1.0,1
Assago,0.2300415320719889,2015,1.0,0
Baranzate,0.1649137931034482,2015,8.0,0
Bareggio,0.2497253541485978,2015,1.0,1
Basiano,0.2302847754654983,2015,1.0,0
Basiglio,0.175759989380061,2015,6.0,0
Bellinzago Lombardo,0.2364672364672364,2015,0.0,0
Bernate Ticino,0.2545811518324607,2015,1.0,1
Besate,0.2310278578290105,2015,1.0,0
Binasco,0.2742516629711751,2015,3.0,1
Boffalora sopra Ticino,0.2422330097087378,2015,0.0,1
Bollate,0.301765240095357,2015,6.0,1
Bresso,0.2838539677690369,2015,4.0,1
Bubbiano,0.1971595655806182,2015,4.0,0
Buccinasco,0.2263632651546085,2015,1.0,0
Buscate,0.2518939393939394,2015,1.0,1
Bussero,0.2461627906976744,2015,1.0,1
Busto Garolfo,0.2460478607686729,2015,1.0,1
Calvignasco,0.242016806722689,2015,0.0,1
Cambiago,0.2151317737636955,2015,2.0,0
Canegrate,0.2637883904164657,2015,2.0,1
Carpiano,0.2026894865525672,2015,4.0,0
Carugate,0.2241483979763912,2015,2.0,0
Casarile,0.1988145221042232,2015,4.0,0
Casorezzo,0.2232566630156991,2015,2.0,0
Cassano d'Adda,0.2450890694795759,2015,1.0,1
Cassina de' Pecchi,0.2375743337493576,2015,0.0,0
Cassinetta di Lugagnano,0.2476190476190476,2015,1.0,1
Castano Primo,0.2430840621095841,2015,0.0,1
Cernusco sul Naviglio,0.2408205692622825,2015,0.0,1
Cerro Maggiore,0.2531272512934704,2015,1.0,1
Cerro al Lambro,0.254408559540321,2015,1.0,1
Cesano Boscone,0.2687107779134903,2015,3.0,1
Cesate,0.2383979656706929,2015,0.0,0
Cinisello Balsamo,0.2709439965486558,2015,3.0,1
Cisliano,0.2092391304347826,2015,3.0,0
Cologno Monzese,0.2678881225405153,2015,3.0,1
Colturano,0.1990291262135922,2015,4.0,0
Corbetta,0.2186912788769758,2015,2.0,0
Cormano,0.2462583694367861,2015,1.0,1
Cornaredo,0.2610652663165791,2015,2.0,1
