Comune,Neuro_incidence,Year,Multiplicator,Label
Cuggiono,0.0154632899062461,2014,0.0,1
Cusago,0.0110613642349223,2014,0.0,0
Cusano Milanino,0.019396781413194,2014,0.0,1
Dairago,0.0131943313243199,2014,0.0,0
Dresano,0.0152795838751625,2014,0.0,0
Gaggiano,0.0139337866458588,2014,0.0,0
Garbagnate Milanese,0.0179680815445853,2014,0.0,1
Gessate,0.0110787824529991,2014,0.0,0
Gorgonzola,0.0149757966922146,2014,0.0,0
Grezzago,0.0102494021182097,2014,1.0,0
Gudo Visconti,0.0144752714113389,2014,0.0,0
Inveruno,0.0182237600922722,2014,0.0,1
Inzago,0.0152330566450789,2014,0.0,0
Lacchiarella,0.0151325520537034,2014,0.0,0
Lainate,0.0150340430556102,2014,0.0,0
Legnano,0.0158124684926903,2014,0.0,1
Liscate,0.0096899224806201,2014,1.0,0
Locate di Triulzi,0.0141688285771303,2014,0.0,0
Magenta,0.0183162782698426,2014,0.0,1
Magnago,0.0143783783783783,2014,0.0,0
Marcallo con Casone,0.0146821555340432,2014,0.0,0
Masate,0.0090300029129041,2014,1.0,0
Mediglia,0.0187039642472895,2014,0.0,1
Melegnano,0.0196956646569049,2014,0.0,1
Melzo,0.0186607529208135,2014,0.0,1
Mesero,0.0150654482588293,2014,0.0,0
Morimondo,0.011705685618729,2014,0.0,0
Motta Visconti,0.0158709509561597,2014,0.0,1
Nerviano,0.0163393012341387,2014,0.0,1
Nosate,0.0171428571428571,2014,0.0,1
Novate Milanese,0.0168197244959073,2014,0.0,1
Noviglio,0.0156498072125198,2014,0.0,1
Opera,0.0170597834149236,2014,0.0,1
Ossona,0.0180454651980314,2014,0.0,1
Ozzero,0.0117724002616088,2014,0.0,0
Paderno Dugnano,0.01532946758039,2014,0.0,1
Pantigliate,0.0178755586112066,2014,0.0,1
Parabiago,0.013262599469496,2014,0.0,0
Paullo,0.0187638950644731,2014,0.0,1
Pero,0.0165412136418548,2014,0.0,1
Peschiera Borromeo,0.0144896099952279,2014,0.0,0
Pessano con Bornago,0.0125123477115574,2014,0.0,0
Pieve Emanuele,0.0147354754949691,2014,0.0,0
Pioltello,0.0146491059938117,2014,0.0,0
Pogliano Milanese,0.0123039806996381,2014,0.0,0
Pozzo d'Adda,0.0090105122643083,2014,1.0,0
Pozzuolo Martesana,0.0149890324153058,2014,0.0,0
Pregnana Milanese,0.0137555523713999,2014,0.0,0
Rescaldina,0.0142816941044041,2014,0.0,0
Rho,0.0160503134671851,2014,0.0,1
Robecchetto con Induno,0.0147571223611395,2014,0.0,0
Robecco sul Naviglio,0.0143442622950819,2014,0.0,0
Rodano,0.013763440860215,2014,0.0,0
Rosate,0.0178669097538742,2014,0.0,1
Rozzano,0.0161617608441356,2014,0.0,1
San Donato Milanese,0.0179469449333668,2014,0.0,1
San Giorgio su Legnano,0.018240659017358,2014,0.0,1
San Giuliano Milanese,0.0161453077699293,2014,0.0,1
San Vittore Olona,0.0194011976047904,2014,0.0,1
San Zenone al Lambro,0.0115821172110261,2014,0.0,0
Santo Stefano Ticino,0.0169320701471477,2014,0.0,1
Sedriano,0.0134996582365003,2014,0.0,0
Segrate,0.016929008319564,2014,0.0,1
Senago,0.0145756198153442,2014,0.0,0
Sesto San Giovanni,0.0186960152559484,2014,0.0,1
Settala,0.013531799729364,2014,0.0,0
Settimo Milanese,0.0153582758447051,2014,0.0,1
Solaro,0.0140835001429796,2014,0.0,0
Trezzano Rosa,0.0095275903136165,2014,1.0,0
Trezzano sul Naviglio,0.0153921091086215,2014,0.0,1
Trezzo sull'Adda,0.014316630597636,2014,0.0,0
Tribiano,0.0119453924914675,2014,0.0,0
Truccazzano,0.0124729752203558,2014,0.0,0
Turbigo,0.0165120087336244,2014,0.0,1
Vanzaghello,0.0142592592592592,2014,0.0,0
Vanzago,0.0134310134310134,2014,0.0,0
Vaprio d'Adda,0.0114485981308411,2014,0.0,0
Vermezzo con Zelo,0.014682469485229,2014,0.0,0
Vernate,0.0127737226277372,2014,0.0,0
Vignate,0.0140431090790333,2014,0.0,0
Villa Cortese,0.0175297523319395,2014,0.0,1
Vimodrone,0.0155152224824355,2014,0.0,1
Vittuone,0.0143050236539761,2014,0.0,0
Vizzolo Predabissi,0.0169106511862695,2014,0.0,1
Zibido San Giacomo,0.015131086142322,2014,0.0,0
San Siro Baggio Trenno,0.0193022833617362,2014,0.0,1
Barona Lorenteggio,0.0197447644419329,2014,0.0,1
Centro Storico,0.0165202843998327,2014,0.0,1
Città Studi Lambrate,0.0168828568568282,2014,0.0,1
Fiera Gallaratese Quarto Oggiaro,0.0193333848890263,2014,0.0,1
Stazione Centrale Bicocca,0.0149804403856972,2014,0.0,0
Stazione Garibaldi Niguarda,0.0167905735589646,2014,0.0,1
Vigentino Chiaravalle Gratosoglio,0.0168814873959165,2014,0.0,1
Vittoria Forlanini,0.0187830958532654,2014,0.0,1
Abbiategrasso,0.0176671850699844,2015,0.0,1
Albairate,0.0149444918872758,2015,0.0,0
