Comune,LU0301,LU0201,LU0101,LU0102,LU0105,LU0103,LU0104,LU0302,LU0304,LU0305,LU0303,Grass_cover,Small_woods_cover,Trees_cover,Trees_mean_density,Non_class_surf,Imper_surf,Perm_surf,Non_cons_surf,Hardwood,Coniferous,Shrubs,Periodic_herb,Permanent_herb,Permanent_water,Wetlands,Year,Old_people_perc,IMED,IFQ,ITQ,PI1,PI2,PI3,PI4,TI1,TI2,TI3,TI4,frequency_NO2,exposure_NO2,intensity_NO2,frequency_O3,exposure_O3,intensity_O3,frequency_PM10,exposure_PM10,intensity_PM10,frequency_CO,exposure_CO,intensity_CO,Neuro_incidence,Multiplicator,Label
MAGNAGO,0.293814743,0.315702881,0.220050429,0.115728208,0.016277083,0.025556653,0.005055228,0.007631397,0.0,0.000183377,0.0,0.1158411345159283,0.2902484264391333,0.3028930886739414,0.811565779803028,0.1200174349301008,0.1782986422025085,0.0124843777839443,0.0,0.2589929585206992,0.0035529719941467,0.0002315219845809,0.170676226094765,0.2564462166903083,8.014222543188218e-05,0.0,2015,0.1941182807282128,27487.46,10731.61,70401.55,0.1860112274313457,0.5153997875891367,0.2787133970565923,0.0198755879229252,0.0378494922145477,0.4048641946577671,0.437662183031116,0.1196241300965691,0,0.0,0.0,31,1.881,58.296,51,1.914,97.633,0,0.0,0.0,0.0136809221156953,0.0,0
MAGNAGO,0.293814743,0.315702881,0.220050429,0.115728208,0.016277083,0.025556653,0.005055228,0.007631397,0.0,0.000183377,0.0,0.1158411345159283,0.2902484264391333,0.3028930886739414,0.811565779803028,0.1200174349301008,0.1782986422025085,0.0124843777839443,0.0,0.2589929585206992,0.0035529719941467,0.0002315219845809,0.170676226094765,0.2564462166903083,8.014222543188218e-05,0.0,2016,0.2006688963210702,27637.18,10764.0,70754.02,0.1854545454545454,0.5165151515151515,0.2763636363636363,0.0216666666666666,0.0369334884956768,0.4043839487855742,0.4336839608640135,0.1249986018547353,0,0.0,0.0,31,1.661,51.478,39,1.588,61.932,0,0.0,0.0,0.0134858129248031,0.0,0
ZIBIDO SAN GIACOMO,0.036115496,0.773749358,0.057038165,0.047948369,0.01587305,0.01632258,0.007545534,0.010520246,0.0015533,0.033333901,0.0,0.0805330675880146,0.3447660656282459,0.0509859870245593,0.7042247907532879,0.0331683252377384,0.0626016068664239,0.0110953961400595,0.0,0.0139850762336794,0.0002113408788582,2.4385486022108906e-05,0.6996236582219747,0.1465811564788966,0.0333756018689263,0.0,2013,0.1427500374868796,27451.2,10790.87,70083.46,0.2111827956989247,0.4821505376344086,0.2886021505376344,0.0180645161290322,0.0454743121040877,0.3945379938323144,0.4746094084985613,0.0853782855650365,5,0.226,1.129,29,1.575,45.675,49,1.842,90.273,0,0.0,0.0,0.0137951716899085,0.0,0
ZIBIDO SAN GIACOMO,0.036115496,0.773749358,0.057038165,0.047948369,0.01587305,0.01632258,0.007545534,0.010520246,0.0015533,0.033333901,0.0,0.0805330675880146,0.3447660656282459,0.0509859870245593,0.7042247907532879,0.0331683252377384,0.0626016068664239,0.0110953961400595,0.0,0.0139850762336794,0.0002113408788582,2.4385486022108906e-05,0.6996236582219747,0.1465811564788966,0.0333756018689263,0.0,2014,0.1463670411985018,27592.86,10734.41,69804.43,0.2070827035197581,0.4800259123299503,0.2934571366875405,0.019434247462751,0.0455308915159782,0.3881581975488196,0.4767224873739791,0.089588423561223,0,0.0,0.0,31,1.294,40.12,48,1.625,78.012,0,0.0,0.0,0.015131086142322,0.0,0
ZIBIDO SAN GIACOMO,0.036115496,0.773749358,0.057038165,0.047948369,0.01587305,0.01632258,0.007545534,0.010520246,0.0015533,0.033333901,0.0,0.0805330675880146,0.3447660656282459,0.0509859870245593,0.7042247907532879,0.0331683252377384,0.0626016068664239,0.0110953961400595,0.0,0.0139850762336794,0.0002113408788582,2.4385486022108906e-05,0.6996236582219747,0.1465811564788966,0.0333756018689263,0.0,2015,0.1507760532150776,27775.37,10684.62,70141.24,0.2073196986006458,0.466307857911733,0.3057050592034445,0.0206673842841765,0.0406955124983515,0.3711672928416356,0.4938594311987889,0.0942777634612238,1,0.066,0.066,30,1.67,50.104,51,2.09,106.579,0,0.0,0.0,0.0152254249815225,0.0,0
ZIBIDO SAN GIACOMO,0.036115496,0.773749358,0.057038165,0.047948369,0.01587305,0.01632258,0.007545534,0.010520246,0.0015533,0.033333901,0.0,0.0805330675880146,0.3447660656282459,0.0509859870245593,0.7042247907532879,0.0331683252377384,0.0626016068664239,0.0110953961400595,0.0,0.0139850762336794,0.0002113408788582,2.4385486022108906e-05,0.6996236582219747,0.1465811564788966,0.0333756018689263,0.0,2016,0.156647912348238,27780.12,10678.35,69209.25,0.2064034151547492,0.471931696905016,0.3026680896478121,0.0189967982924226,0.0404763777581596,0.380483170877112,0.4881457348266849,0.0908947165380434,1,0.171,0.171,31,1.663,51.538,49,1.619,79.312,0,0.0,0.0,0.0164347053597867,0.0,1
SANTO STEFANO TICINO,0.020577672,0.462636988,0.229536551,0.125055032,0.046298723,0.034353283,0.046093242,0.012675304,0.0,0.022773206,0.0,0.1301583637313708,0.2795062263235084,0.0445003069069198,0.637882352941176,0.1102439729933872,0.1785851683065482,0.0204379237604179,0.0,0.0310495354074526,0.0007047559917385,0.0002416306257389,0.5014439560647166,0.1366622547408437,0.0213843103778953,0.0,2013,0.1519168026101142,27310.54,10822.33,71255.08,0.1769275028768699,0.5152474108170311,0.2856731875719217,0.0221518987341772,0.0357277376893792,0.4085216079017204,0.440313580855324,0.1154370735535763,4,0.199,0.796,29,1.737,50.361,43,2.014,86.616,0,0.0,0.0,0.0154975530179445,0.0,1
SANTO STEFANO TICINO,0.020577672,0.462636988,0.229536551,0.125055032,0.046298723,0.034353283,0.046093242,0.012675304,0.0,0.022773206,0.0,0.1301583637313708,0.2795062263235084,0.0445003069069198,0.637882352941176,0.1102439729933872,0.1785851683065482,0.0204379237604179,0.0,0.0310495354074526,0.0007047559917385,0.0002416306257389,0.5014439560647166,0.1366622547408437,0.0213843103778953,0.0,2014,0.1560169320701471,27453.34,10732.45,71256.09,0.1803932744371615,0.5078369905956113,0.2898261612995155,0.0219435736677116,0.0357641308737841,0.4081218407837805,0.4533645163410538,0.1027495120013814,0,0.0,0.0,30,1.155,34.651,45,1.688,75.944,0,0.0,0.0,0.0169320701471477,0.0,1
SANTO STEFANO TICINO,0.020577672,0.462636988,0.229536551,0.125055032,0.046298723,0.034353283,0.046093242,0.012675304,0.0,0.022773206,0.0,0.1301583637313708,0.2795062263235084,0.0445003069069198,0.637882352941176,0.1102439729933872,0.1785851683065482,0.0204379237604179,0.0,0.0310495354074526,0.0007047559917385,0.0002416306257389,0.5014439560647166,0.1366622547408437,0.0213843103778953,0.0,2015,0.1664006384676775,27449.78,10717.32,70443.47,0.1868162692847124,0.4776998597475456,0.3119214586255259,0.0235624123422159,0.0357832424717634,0.37371775774884,0.4725743979852537,0.1179246017941428,0,0.0,0.0,31,1.849,57.326,49,2.244,109.962,0,0.0,0.0,0.0161612130885873,0.0,1
SANTO STEFANO TICINO,0.020577672,0.462636988,0.229536551,0.125055032,0.046298723,0.034353283,0.046093242,0.012675304,0.0,0.022773206,0.0,0.1301583637313708,0.2795062263235084,0.0445003069069198,0.637882352941176,0.1102439729933872,0.1785851683065482,0.0204379237604179,0.0,0.0310495354074526,0.0007047559917385,0.0002416306257389,0.5014439560647166,0.1366622547408437,0.0213843103778953,0.0,2016,0.1732772435897435,27537.52,10688.47,70996.35,0.1783295711060948,0.4799661399548532,0.3168735891647855,0.0248306997742663,0.0341233046216113,0.3690571591016759,0.4769131116426264,0.1199064246340863,1,0.122,0.122,30,1.574,47.207,48,1.516,72.758,0,0.0,0.0,0.0152243589743589,0.0,0
MORIMONDO,0.156499257,0.788504076,0.024032147,0.017100842,0.003514423,0.0,0.0,0.005530509,0.000359251,0.004164729,0.000294765,0.1147696110681156,0.1823240946981244,0.1871505128687326,0.718344865819354,0.0098296000640251,0.0287202622668194,0.0141795247209745,0.0006686279949727,0.1662193824743834,0.0003612128248703,0.0,0.6099923939653714,0.160278584312154,0.0105481830241396,0.0,2013,0.1825938566552901,26974.56,10792.55,69935.16,0.2184466019417475,0.5449029126213593,0.2099514563106796,0.0266990291262135,0.0546236676570536,0.4594037068008403,0.335922312640977,0.150050312901129,3,0.159,0.476,29,1.598,46.347,46,1.807,83.11,0,0.0,0.0,0.0119453924914675,0.0,0
MORIMONDO,0.156499257,0.788504076,0.024032147,0.017100842,0.003514423,0.0,0.0,0.005530509,0.000359251,0.004164729,0.000294765,0.1147696110681156,0.1823240946981244,0.1871505128687326,0.718344865819354,0.0098296000640251,0.0287202622668194,0.0141795247209745,0.0006686279949727,0.1662193824743834,0.0003612128248703,0.0,0.6099923939653714,0.160278584312154,0.0105481830241396,0.0,2014,0.1964882943143812,26987.31,10683.32,68689.32,0.2352941176470588,0.5245098039215687,0.2230392156862745,0.017156862745098,0.0530305645215949,0.4727288465694886,0.3783529575886014,0.095887631320315,0,0.0,0.0,31,1.257,38.966,48,1.537,73.792,0,0.0,0.0,0.011705685618729,0.0,0
MORIMONDO,0.156499257,0.788504076,0.024032147,0.017100842,0.003514423,0.0,0.0,0.005530509,0.000359251,0.004164729,0.000294765,0.1147696110681156,0.1823240946981244,0.1871505128687326,0.718344865819354,0.0098296000640251,0.0287202622668194,0.0141795247209745,0.0006686279949727,0.1662193824743834,0.0003612128248703,0.0,0.6099923939653714,0.160278584312154,0.0105481830241396,0.0,2015,0.2043103448275862,27307.1,10677.67,71531.88,0.2328431372549019,0.5098039215686274,0.2450980392156862,0.0122549019607843,0.0517887703252154,0.4561740939080995,0.4233245309556422,0.0687126048110428,0,0.0,0.0,30,1.811,54.341,51,2.108,107.506,0,0.0,0.0,0.0112068965517241,0.0,0
MORIMONDO,0.156499257,0.788504076,0.024032147,0.017100842,0.003514423,0.0,0.0,0.005530509,0.000359251,0.004164729,0.000294765,0.1147696110681156,0.1823240946981244,0.1871505128687326,0.718344865819354,0.0098296000640251,0.0287202622668194,0.0141795247209745,0.0006686279949727,0.1662193824743834,0.0003612128248703,0.0,0.6099923939653714,0.160278584312154,0.0105481830241396,0.0,2016,0.2128227960819234,27299.26,10801.76,70731.55,0.2446675031367628,0.4880803011292346,0.247176913425345,0.0200752823086574,0.057282502815337,0.4219825294097454,0.412677812245852,0.1080571555290654,2,0.122,0.244,31,1.561,48.396,47,1.612,75.786,0,0.0,0.0,0.0124666073018699,0.0,0
VIMODRONE,0.034687287,0.23549414,0.29203596,0.192928289,0.098979834,0.052116998,0.015464503,0.023745198,0.0,0.05454779,0.0,0.1318430127094328,0.2180723919430973,0.1124208414513733,0.7175070343275181,0.1977223427964878,0.309025513154835,0.0200548152729799,0.0,0.0521931312309415,0.0050400639855333,0.0010122304238728,0.2494937113508157,0.1357654056019399,0.0303247364485227,0.0,2013,0.192668120469146,27762.09,10626.35,70313.82,0.200568874441284,0.4518488419341731,0.3231206826493295,0.0244616009752133,0.0382629090541072,0.3462415970202237,0.4990912528535237,0.1164042410721453,7,0.256,1.795,28,1.742,48.777,49,1.957,95.911,0,0.0,0.0,0.0138504155124653,0.0,0
VIMODRONE,0.034687287,0.23549414,0.29203596,0.192928289,0.098979834,0.052116998,0.015464503,0.023745198,0.0,0.05454779,0.0,0.1318430127094328,0.2180723919430973,0.1124208414513733,0.7175070343275181,0.1977223427964878,0.309025513154835,0.0200548152729799,0.0,0.0521931312309415,0.0050400639855333,0.0010122304238728,0.2494937113508157,0.1357654056019399,0.0303247364485227,0.0,2014,0.1971311475409836,27713.11,10638.94,70444.53,0.2002290201210534,0.4438900703418943,0.3310976607230492,0.0247832488140029,0.0389506402557005,0.3352574629126602,0.5060566588184776,0.1197352380131615,4,0.078,0.312,30,1.063,31.889,48,1.629,78.185,0,0.0,0.0,0.0155152224824355,0.0,1
VIMODRONE,0.034687287,0.23549414,0.29203596,0.192928289,0.098979834,0.052116998,0.015464503,0.023745198,0.0,0.05454779,0.0,0.1318430127094328,0.2180723919430973,0.1124208414513733,0.7175070343275181,0.1977223427964878,0.309025513154835,0.0200548152729799,0.0,0.0521931312309415,0.0050400639855333,0.0010122304238728,0.2494937113508157,0.1357654056019399,0.0303247364485227,0.0,2015,0.2030358298523268,27902.88,10591.54,70327.59,0.1948083652046545,0.4364065424363251,0.3436406542436325,0.0251444381153877,0.0374081172782975,0.3215141098558803,0.5185726788964083,0.1225050939694138,9,0.149,1.345,29,1.743,50.554,51,2.102,107.214,0,0.0,0.0,0.0160028240277696,0.0,1
VIMODRONE,0.034687287,0.23549414,0.29203596,0.192928289,0.098979834,0.052116998,0.015464503,0.023745198,0.0,0.05454779,0.0,0.1318430127094328,0.2180723919430973,0.1124208414513733,0.7175070343275181,0.1977223427964878,0.309025513154835,0.0200548152729799,0.0,0.0521931312309415,0.0050400639855333,0.0010122304238728,0.2494937113508157,0.1357654056019399,0.0303247364485227,0.0,2016,0.2071997639421658,27831.98,10586.1,70400.94,0.1868884540117416,0.4430039138943248,0.3436073059360731,0.0265003261578604,0.035773488655337,0.3269112704877531,0.5147700104161228,0.122545230440787,7,0.092,0.646,30,1.447,43.411,49,1.667,81.681,0,0.0,0.0,0.0164060194747713,0.0,1
GARBAGNATE MILANESE,0.113157025,0.127489657,0.394478312,0.177791508,0.097432542,0.033964308,0.004855161,0.035264578,0.0,0.015566909,0.0,0.1208249576394277,0.4456604953829297,0.2536505376379186,0.7301357446055889,0.2040442267088192,0.2658754706952821,0.0162737411616828,0.0,0.1457795228253301,0.0150848944606915,0.0004037592569404,0.1594849064914752,0.1810299490632139,0.012763278733284,0.0,2013,0.2011776982707215,27253.01,10735.2,70402.9,0.2142295391390971,0.4988727520578829,0.2692287526870445,0.0176689561159754,0.0481350237400509,0.4157755091310811,0.4447053028937713,0.0913841642350965,3,0.241,0.724,28,1.698,47.539,48,1.656,79.464,0,0.0,0.0,0.0173673225998807,0.0,1
GARBAGNATE MILANESE,0.113157025,0.127489657,0.394478312,0.177791508,0.097432542,0.033964308,0.004855161,0.035264578,0.0,0.015566909,0.0,0.1208249576394277,0.4456604953829297,0.2536505376379186,0.7301357446055889,0.2040442267088192,0.2658754706952821,0.0162737411616828,0.0,0.1457795228253301,0.0150848944606915,0.0004037592569404,0.1594849064914752,0.1810299490632139,0.012763278733284,0.0,2014,0.2097392210111231,27383.32,10670.83,70208.71,0.2170380078636959,0.487916120576671,0.2767496723460026,0.0182961992136304,0.0464430794294978,0.4012738383266098,0.4527475569751849,0.0995355252687074,7,0.102,0.712,29,1.127,32.671,49,1.65,80.861,0,0.0,0.0,0.0179680815445853,0.0,1
GARBAGNATE MILANESE,0.113157025,0.127489657,0.394478312,0.177791508,0.097432542,0.033964308,0.004855161,0.035264578,0.0,0.015566909,0.0,0.1208249576394277,0.4456604953829297,0.2536505376379186,0.7301357446055889,0.2040442267088192,0.2658754706952821,0.0162737411616828,0.0,0.1457795228253301,0.0150848944606915,0.0004037592569404,0.1594849064914752,0.1810299490632139,0.012763278733284,0.0,2015,0.2166778050048266,27447.81,10688.36,70529.97,0.2151265756849671,0.4771330346911137,0.2882071049067611,0.019533284717158,0.0457673015953329,0.3877759214331259,0.4663019176537759,0.1001548593177651,2,0.255,0.51,30,1.645,49.346,51,2.512,128.128,0,0.0,0.0,0.0184896413455112,0.0,1
GARBAGNATE MILANESE,0.113157025,0.127489657,0.394478312,0.177791508,0.097432542,0.033964308,0.004855161,0.035264578,0.0,0.015566909,0.0,0.1208249576394277,0.4456604953829297,0.2536505376379186,0.7301357446055889,0.2040442267088192,0.2658754706952821,0.0162737411616828,0.0,0.1457795228253301,0.0150848944606915,0.0004037592569404,0.1594849064914752,0.1810299490632139,0.012763278733284,0.0,2016,0.2220775839625097,27433.13,10676.61,70027.07,0.2101100945883082,0.4814699953481159,0.2891921228097379,0.0192277872538378,0.0440278726362481,0.389764301192307,0.4675839854377277,0.098623840733717,2,0.097,0.194,30,1.444,43.32,45,2.05,92.234,0,0.0,0.0,0.0182616134191244,0.0,1
CUSANO MILANINO,0.0,0.11298597,0.595210866,0.138980506,0.121502532,0.024890459,0.001671773,0.004757894,0.0,0.0,0.0,0.0538986901545208,0.2649505148173768,0.1334649684560772,0.605492341356674,0.2025824940606103,0.4391721087003525,0.0115520371432928,0.0,0.08135100314111,0.0065548075925425,9.734862761201844e-05,0.08135100314111,0.1755520251270066,0.0027257615731365,0.0,2013,0.2671646535282899,27664.36,10720.69,70517.32,0.216743119266055,0.458213876146789,0.2903526376146789,0.034690366972477,0.0416373724891713,0.3315171000238195,0.4402019906341858,0.1866435368528232,9,0.368,3.312,28,1.84,51.512,49,1.776,87.026,0,0.0,0.0,0.0196016105107014,0.0,1
CUSANO MILANINO,0.0,0.11298597,0.595210866,0.138980506,0.121502532,0.024890459,0.001671773,0.004757894,0.0,0.0,0.0,0.0538986901545208,0.2649505148173768,0.1334649684560772,0.605492341356674,0.2025824940606103,0.4391721087003525,0.0115520371432928,0.0,0.08135100314111,0.0065548075925425,9.734862761201844e-05,0.08135100314111,0.1755520251270066,0.0027257615731365,0.0,2014,0.2723542577000959,27767.08,10647.7,70728.75,0.2129649771590167,0.4526865346965412,0.2997607135088101,0.0345877746356319,0.0395372120436499,0.3249823115712415,0.4531836927977895,0.182296783587319,6,0.072,0.435,30,1.159,34.763,48,1.649,79.165,0,0.0,0.0,0.019396781413194,0.0,1
CUSANO MILANINO,0.0,0.11298597,0.595210866,0.138980506,0.121502532,0.024890459,0.001671773,0.004757894,0.0,0.0,0.0,0.0538986901545208,0.2649505148173768,0.1334649684560772,0.605492341356674,0.2025824940606103,0.4391721087003525,0.0115520371432928,0.0,0.08135100314111,0.0065548075925425,9.734862761201844e-05,0.08135100314111,0.1755520251270066,0.0027257615731365,0.0,2015,0.2784837274140797,27788.13,10677.44,70404.49,0.2080133314012462,0.4402260541950442,0.3168381394000869,0.0349224750036226,0.0381583653815013,0.3108120265623446,0.4711413176612104,0.1798882903949435,10,0.237,2.367,29,1.722,49.934,51,2.213,112.843,0,0.0,0.0,0.0197844619591442,0.0,1
CUSANO MILANINO,0.0,0.11298597,0.595210866,0.138980506,0.121502532,0.024890459,0.001671773,0.004757894,0.0,0.0,0.0,0.0538986901545208,0.2649505148173768,0.1334649684560772,0.605492341356674,0.2025824940606103,0.4391721087003525,0.0115520371432928,0.0,0.08135100314111,0.0065548075925425,9.734862761201844e-05,0.08135100314111,0.1755520251270066,0.0027257615731365,0.0,2016,0.2816390603009635,27776.05,10636.24,70231.55,0.2019404822243139,0.4426182028817609,0.3183694156831511,0.037071899210774,0.0370075235311322,0.310515646697423,0.4658808207036274,0.1865960090678173,7,0.214,1.498,30,1.418,42.549,50,1.667,83.362,0,0.0,0.0,0.0208942297282667,1.0,1
PAULLO,0.037237554,0.649652415,0.138396072,0.075450786,0.020955365,0.038207808,0.002023903,0.010836394,0.0,0.027239701,0.0,0.129076582805658,0.3739321169721264,0.0691635545140804,0.7458695295853139,0.0756366555839935,0.1617141624558855,0.0054188131548484,0.0,0.0588927496640957,0.0005328121721294,0.000793550043597,0.4624016104040038,0.203568259041033,0.0320367489029325,0.0,2013,0.1940954773869346,27506.04,10760.51,70280.92,0.2102425876010781,0.4980105249647029,0.2742908484148376,0.0174560390193813,0.0466377942598042,0.406957578443809,0.4505459163025485,0.0958587109938381,4,0.219,0.878,28,1.628,45.597,49,1.959,96.007,0,0.0,0.0,0.017767408470926,0.0,1
PAULLO,0.037237554,0.649652415,0.138396072,0.075450786,0.020955365,0.038207808,0.002023903,0.010836394,0.0,0.027239701,0.0,0.129076582805658,0.3739321169721264,0.0691635545140804,0.7458695295853139,0.0756366555839935,0.1617141624558855,0.0054188131548484,0.0,0.0588927496640957,0.0005328121721294,0.000793550043597,0.4624016104040038,0.203568259041033,0.0320367489029325,0.0,2014,0.2007114273010226,27626.55,10758.09,69817.59,0.2087926172776211,0.4906434247628813,0.2828761855934376,0.0176877723660599,0.0440790668451787,0.39622397386283,0.4628058748648791,0.0968910844271121,0,0.0,0.0,31,1.142,35.4,47,1.648,77.435,0,0.0,0.0,0.0187638950644731,0.0,1
